Package,Version,Archive,SHA256,Repository,Commit
SWATreadR,0.1.0.9014,SWATreadR_0.1.0.9014.tar.gz,DED65D02D08662567A28D14A9DCFA7A4C65EE270B7BFBE26500A470853747A85,https://github.com/MR-Eini/SWATreadR-swat62,59b0a7d3f6e0fe8784bbeecee8108e9e9adedf8f
SWATrunR,1.1.0.9019,SWATrunR_1.1.0.9019.tar.gz,56893160D30BC4D80083BB6EA6426DF543A1959557C3286C09A482F821B019A9,https://github.com/MR-Eini/SWATrunR-swat62,f4e5c13ba564ffa18136426642de2a73fa63d703
SWATtunR,0.3.15,SWATtunR_0.3.15.tar.gz,69F48D333784F029D76F299BD31FD1EC93672BE31A362D93450979444A2A208A,https://github.com/MR-Eini/SWATtunR-swat62,8185b0e905025a87e002d96ca73ac32245425ebf
SWATdoctR,0.1.30,SWATdoctR_0.1.30.tar.gz,B6FCC268CC3C95EBE3CE3384894E11688584584C0938C7D230B48C6BA1FED234,https://github.com/MR-Eini/SWATdoctR-swat62,18c20c8f8e024d255bed231613bd2894d4ef79cb
SWATfarmR,4.0.5,SWATfarmR_4.0.5.tar.gz,E5DF0E6D56FE9A5C63C741BE05C7AB13D861DDC5E8F74FE0DA098DA31B7B3F3A,https://github.com/MR-Eini/SWATfarmR-swat62,54f283b5897713e9ad5a8f12b3a60c7f33a9294f
SWATprepR,1.0.16,SWATprepR_1.0.16.tar.gz,1A70DC46F40A680C3A54684CA0BA7105690A72E22A1D92244B3333F0351FA214,https://github.com/MR-Eini/SWATprepR-swat62,2a4b6cb17adc8c062aa2c1cf1fd1e6f0c6552104
SWATmeasR,0.9.4,SWATmeasR_0.9.4.tar.gz,E5D0D354831B1571536640FE2A22B239AB7AE2A09FFF890B657EBFD1A5927608,https://github.com/MR-Eini/SWATmeasR-swat62,7ff8631f2f07b85702b973893b8d8e33b4174cc0
