"Package","Version","Built","LibPath"
"lifecycle","1.0.5","4.5.3","renv/library"
"lintr","3.3.0-1","4.5.3","renv/library"
"lmtest","0.9-40","4.5.3","renv/library"
"logger","0.4.2","4.5.3","renv/library"
"lubridate","1.9.4","4.5.1","renv/library"
"lwgeom","0.2-16","4.5.3","renv/library"
"magrittr","2.0.3","4.5.1","renv/library"
"maps","3.4.3","4.5.3","renv/library"
"maptiles","0.11.0","4.5.3","renv/library"
"mapview","2.11.4","4.5.3","renv/library"
"memoise","2.0.1","4.5.1","renv/library"
"mgcv","1.9-3","4.5.1","renv/library"
"microbenchmark","1.5.0","4.5.3","renv/library"
"mime","0.13","4.5.0","renv/library"
"miniUI","0.1.2","4.5.3","renv/library"
"modelr","0.1.11","4.5.1","renv/library"
"nanoarrow","0.8.0","4.5.3","renv/library"
"nlme","3.1-168","4.5.1","renv/library"
"numDeriv","2016.8-1.1","4.5.2","renv/library"
"odbc","1.7.0","4.5.3","renv/library"
"openssl","2.3.3","4.5.1","renv/library"
"otel","0.2.0","4.5.3","renv/library"
"pacman","0.5.1","4.5.3","renv/library"
"pak","0.10.0","4.5.3","renv/library"
"patchwork","1.3.1","4.5.1","renv/library"
"pbapply","1.7-4","4.5.3","renv/library"
"pillar","1.11.0","4.5.1","renv/library"
"pkgbuild","1.4.8","4.5.3","renv/library"
"pkgconfig","2.0.3","4.5.1","renv/library"
"pkgdown","2.2.0","4.5.3","renv/library"
"pkgload","1.5.2","4.5.3","renv/library"
"plogr","0.2.0","4.5.1","renv/library"
"plotly","4.12.0","4.5.3","renv/library"
"plyr","1.8.9","4.5.3","renv/library"
"png","0.1-9","4.5.3","renv/library"
"polyclip","1.10-7","4.5.2","renv/library"
"pool","1.0.5","4.5.3","renv/library"
"praise","1.0.0","4.5.3","renv/library"
"prettyunits","1.2.0","4.5.1","renv/library"
"processx","3.8.6","4.5.1","renv/library"
"profvis","0.4.0","4.5.3","renv/library"
"progress","1.2.3","4.5.1","renv/library"
"promises","1.5.0","4.5.3","renv/library"
"proxy","0.4-27","4.5.1","renv/library"
"ps","1.9.1","4.5.1","renv/library"
"purrr","1.1.0","4.5.1","renv/library"
"quantmod","0.4.28","4.5.3","renv/library"
